Epoch [1/50], Batch Size [64], Train Loss: 3.0965, Val Loss: 2.9385, Train Acc: 0.0574, Val Acc: 0.1012
Epoch [2/50], Batch Size [64], Train Loss: 2.9076, Val Loss: 2.7761, Train Acc: 0.1079, Val Acc: 0.2830
Epoch [3/50], Batch Size [64], Train Loss: 2.7456, Val Loss: 2.6084, Train Acc: 0.1726, Val Acc: 0.3568
Epoch [4/50], Batch Size [64], Train Loss: 2.5612, Val Loss: 2.4275, Train Acc: 0.2561, Val Acc: 0.4082
Epoch [5/50], Batch Size [64], Train Loss: 2.3941, Val Loss: 2.3143, Train Acc: 0.3271, Val Acc: 0.4820
Epoch [6/50], Batch Size [64], Train Loss: 2.2122, Val Loss: 2.1279, Train Acc: 0.4083, Val Acc: 0.5266
Epoch [7/50], Batch Size [64], Train Loss: 2.0866, Val Loss: 1.9885, Train Acc: 0.4679, Val Acc: 0.5935
Epoch [8/50], Batch Size [64], Train Loss: 1.9322, Val Loss: 1.9265, Train Acc: 0.5168, Val Acc: 0.6655
Epoch [9/50], Batch Size [64], Train Loss: 1.7959, Val Loss: 1.7945, Train Acc: 0.5838, Val Acc: 0.7136
Epoch [10/50], Batch Size [64], Train Loss: 1.6639, Val Loss: 1.6899, Train Acc: 0.6474, Val Acc: 0.7358
Epoch [11/50], Batch Size [64], Train Loss: 1.5572, Val Loss: 1.6144, Train Acc: 0.6871, Val Acc: 0.7787
Epoch [12/50], Batch Size [64], Train Loss: 1.4601, Val Loss: 1.4714, Train Acc: 0.7394, Val Acc: 0.7942
Epoch [13/50], Batch Size [64], Train Loss: 1.3651, Val Loss: 1.4111, Train Acc: 0.7655, Val Acc: 0.8010
Epoch [14/50], Batch Size [64], Train Loss: 1.2638, Val Loss: 1.3146, Train Acc: 0.8030, Val Acc: 0.8216
Epoch [15/50], Batch Size [64], Train Loss: 1.1851, Val Loss: 1.2596, Train Acc: 0.8240, Val Acc: 0.8268
Epoch [16/50], Batch Size [64], Train Loss: 1.1022, Val Loss: 1.1699, Train Acc: 0.8558, Val Acc: 0.8696
Epoch [17/50], Batch Size [64], Train Loss: 1.0071, Val Loss: 1.0799, Train Acc: 0.8790, Val Acc: 0.8816
Epoch [18/50], Batch Size [64], Train Loss: 0.9636, Val Loss: 1.0391, Train Acc: 0.8955, Val Acc: 0.9057
Epoch [19/50], Batch Size [64], Train Loss: 0.9007, Val Loss: 0.9666, Train Acc: 0.9023, Val Acc: 0.9228
Epoch [20/50], Batch Size [64], Train Loss: 0.8354, Val Loss: 0.8974, Train Acc: 0.9233, Val Acc: 0.9177
Epoch [21/50], Batch Size [64], Train Loss: 0.7844, Val Loss: 0.8429, Train Acc: 0.9245, Val Acc: 0.9262
Epoch [22/50], Batch Size [64], Train Loss: 0.7230, Val Loss: 0.8061, Train Acc: 0.9449, Val Acc: 0.9348
Epoch [23/50], Batch Size [64], Train Loss: 0.6860, Val Loss: 0.7465, Train Acc: 0.9597, Val Acc: 0.9383
Epoch [24/50], Batch Size [64], Train Loss: 0.6394, Val Loss: 0.6877, Train Acc: 0.9574, Val Acc: 0.9400
Epoch [25/50], Batch Size [64], Train Loss: 0.5963, Val Loss: 0.6859, Train Acc: 0.9744, Val Acc: 0.9400
Epoch [26/50], Batch Size [64], Train Loss: 0.5540, Val Loss: 0.6176, Train Acc: 0.9779, Val Acc: 0.9417
Epoch [27/50], Batch Size [64], Train Loss: 0.5230, Val Loss: 0.5885, Train Acc: 0.9835, Val Acc: 0.9417
Epoch [28/50], Batch Size [64], Train Loss: 0.5009, Val Loss: 0.5460, Train Acc: 0.9807, Val Acc: 0.9520
Epoch [29/50], Batch Size [64], Train Loss: 0.4582, Val Loss: 0.5222, Train Acc: 0.9869, Val Acc: 0.9554
Epoch [30/50], Batch Size [64], Train Loss: 0.4324, Val Loss: 0.5123, Train Acc: 0.9920, Val Acc: 0.9468
Epoch [31/50], Batch Size [64], Train Loss: 0.4122, Val Loss: 0.4533, Train Acc: 0.9938, Val Acc: 0.9503
Epoch [32/50], Batch Size [64], Train Loss: 0.3789, Val Loss: 0.4671, Train Acc: 0.9915, Val Acc: 0.9485
Epoch [33/50], Batch Size [64], Train Loss: 0.3686, Val Loss: 0.4264, Train Acc: 0.9955, Val Acc: 0.9468
Epoch [34/50], Batch Size [64], Train Loss: 0.3322, Val Loss: 0.4194, Train Acc: 0.9960, Val Acc: 0.9485
